algo,threads,mp,width,height,k,iters,reps,median_ms,min_ms,ns_per_px_iter,cycles_per_px_iter,instr_per_px_iter,ipc,l1d_mpki,branch_mpki
pfcm,1,1,1024,1024,4,10,3,630.0,625.1,60.08,222.6,892.0,4.007,3.56,0.002
pfcm,1,1,1024,1024,8,10,3,1226.2,1219.3,116.94,437.7,1655.3,3.782,3.75,0.003
pfcm,1,1,1024,1024,16,10,3,2505.3,2498.0,238.92,862.1,3182.7,3.692,4.76,0.012
pfcm,1,4,2048,2048,4,10,3,2722.8,2701.0,64.92,224.7,892.0,3.969,4.51,0.003
pfcm,1,4,2048,2048,8,10,2,5037.0,5035.3,120.09,432.8,1655.3,3.825,3.71,0.003
pfcm,1,4,2048,2048,16,10,2,9694.8,9687.4,231.14,840.4,3182.7,3.787,3.81,0.003
