algo,threads,mp,width,height,k,iters,reps,median_ms,min_ms,ns_per_px_iter,cycles_per_px_iter,instr_per_px_iter,ipc,l1d_mpki,branch_mpki
kmeans,1,1,1024,1024,4,10,3,93.8,90.6,8.95,33.3,125.6,3.765,2.95,0.233
kmeans,1,1,1024,1024,8,10,3,138.7,135.5,13.23,52.2,212.5,4.075,2.38,0.181
kmeans,1,1,1024,1024,16,10,3,235.6,234.5,22.47,90.7,387.2,4.268,2.04,0.101
kmeans,1,4,2048,2048,4,10,3,353.9,351.6,8.44,31.5,125.5,3.989,2.93,0.146
kmeans,1,4,2048,2048,8,10,3,558.4,558.0,13.31,52.0,212.5,4.090,2.37,0.143
kmeans,1,4,2048,2048,16,10,3,984.7,962.3,23.48,90.8,387.1,4.266,2.04,0.080
kmeans,1,16,4096,4096,4,10,3,1546.0,1521.0,9.21,33.7,125.5,3.718,2.94,0.357
kmeans,1,16,4096,4096,8,10,3,2326.4,2314.5,13.87,51.8,212.5,4.107,2.37,0.170
kmeans,1,16,4096,4096,16,10,3,4301.9,4295.4,25.64,92.0,387.1,4.208,2.05,0.062
